i,section,y_mm,json,flip,y,sub,hemisphere,chunk,acquisition,sample,raw
54,outputs/padded//brain_region_T55_macaque_f001_Mq179-20230428.nii.gz,15.46,outputs/json//brain_region_T55_macaque_f001_Mq179-20230428.json,False,1281,f001,L,1,synth,1281,outputs/padded//brain_region_T55_macaque_f001_Mq179-20230428.nii.gz
55,outputs/padded//brain_region_T53_macaque_f001_Mq179-20230428.nii.gz,14.93,outputs/json//brain_region_T53_macaque_f001_Mq179-20230428.json,False,1308,f001,L,1,synth,1308,outputs/padded//brain_region_T53_macaque_f001_Mq179-20230428.nii.gz
56,outputs/padded//brain_region_T51_macaque_f001_Mq179-20230428.nii.gz,14.45,outputs/json//brain_region_T51_macaque_f001_Mq179-20230428.json,False,1332,f001,L,1,synth,1332,outputs/padded//brain_region_T51_macaque_f001_Mq179-20230428.nii.gz
57,outputs/padded//brain_region_T59_macaque_f001_Mq179-20230428.nii.gz,13.94,outputs/json//brain_region_T59_macaque_f001_Mq179-20230428.json,False,1357,f001,L,1,synth,1357,outputs/padded//brain_region_T59_macaque_f001_Mq179-20230428.nii.gz
58,outputs/padded//brain_region_T47_macaque_f001_Mq179-20230428.nii.gz,13.45,outputs/json//brain_region_T47_macaque_f001_Mq179-20230428.json,False,1382,f001,L,1,synth,1382,outputs/padded//brain_region_T47_macaque_f001_Mq179-20230428.nii.gz
59,outputs/padded//brain_region_T45_macaque_f001_Mq179-20230428.nii.gz,12.94,outputs/json//brain_region_T45_macaque_f001_Mq179-20230428.json,False,1407,f001,L,1,synth,1407,outputs/padded//brain_region_T45_macaque_f001_Mq179-20230428.nii.gz
60,outputs/padded//brain_region_T43_macaque_f001_Mq179-20230428.nii.gz,12.54,outputs/json//brain_region_T43_macaque_f001_Mq179-20230428.json,False,1427,f001,L,1,synth,1427,outputs/padded//brain_region_T43_macaque_f001_Mq179-20230428.nii.gz
61,outputs/padded//brain_region_T41_macaque_f001_Mq179-20230428.nii.gz,11.97,outputs/json//brain_region_T41_macaque_f001_Mq179-20230428.json,False,1456,f001,L,1,synth,1456,outputs/padded//brain_region_T41_macaque_f001_Mq179-20230428.nii.gz
62,outputs/padded//brain_region_T39_macaque_f001_Mq179-20230428.nii.gz,11.49,outputs/json//brain_region_T39_macaque_f001_Mq179-20230428.json,False,1480,f001,L,1,synth,1480,outputs/padded//brain_region_T39_macaque_f001_Mq179-20230428.nii.gz
63,outputs/padded//brain_region_T37_macaque_f001_Mq179-20230428.nii.gz,10.99,outputs/json//brain_region_T37_macaque_f001_Mq179-20230428.json,False,1505,f001,L,1,synth,1505,outputs/padded//brain_region_T37_macaque_f001_Mq179-20230428.nii.gz
64,outputs/padded//brain_region_T33_macaque_f001_Mq179-20230428.nii.gz,10.0,outputs/json//brain_region_T33_macaque_f001_Mq179-20230428.json,False,1554,f001,L,1,synth,1554,outputs/padded//brain_region_T33_macaque_f001_Mq179-20230428.nii.gz
65,outputs/padded//brain_region_T31_macaque_f001_Mq179-20230428.nii.gz,9.51,outputs/json//brain_region_T31_macaque_f001_Mq179-20230428.json,False,1578,f001,L,1,synth,1578,outputs/padded//brain_region_T31_macaque_f001_Mq179-20230428.nii.gz
66,outputs/padded//brain_region_T29_macaque_f001_Mq179-20230428.nii.gz,9.11,outputs/json//brain_region_T29_macaque_f001_Mq179-20230428.json,False,1598,f001,L,1,synth,1598,outputs/padded//brain_region_T29_macaque_f001_Mq179-20230428.nii.gz
67,outputs/padded//brain_region_T27_macaque_f001_Mq179-20230428.nii.gz,8.5,outputs/json//brain_region_T27_macaque_f001_Mq179-20230428.json,False,1629,f001,L,1,synth,1629,outputs/padded//brain_region_T27_macaque_f001_Mq179-20230428.nii.gz
68,outputs/padded//brain_region_T25_macaque_f001_Mq179-20230428.nii.gz,8.0,outputs/json//brain_region_T25_macaque_f001_Mq179-20230428.json,False,1654,f001,L,1,synth,1654,outputs/padded//brain_region_T25_macaque_f001_Mq179-20230428.nii.gz
69,outputs/padded//brain_region_T28_macaque_f001_Mq179-20230428.nii.gz,6.73,outputs/json//brain_region_T28_macaque_f001_Mq179-20230428.json,False,1718,f001,L,1,synth,1718,outputs/padded//brain_region_T28_macaque_f001_Mq179-20230428.nii.gz
70,outputs/padded//brain_region_T30_macaque_f001_Mq179-20230428.nii.gz,6.23,outputs/json//brain_region_T30_macaque_f001_Mq179-20230428.json,False,1742,f001,L,1,synth,1742,outputs/padded//brain_region_T30_macaque_f001_Mq179-20230428.nii.gz
71,outputs/padded//brain_region_T32_macaque_f001_Mq179-20230428.nii.gz,5.72,outputs/json//brain_region_T32_macaque_f001_Mq179-20230428.json,False,1768,f001,L,1,synth,1768,outputs/padded//brain_region_T32_macaque_f001_Mq179-20230428.nii.gz
72,outputs/padded//brain_region_T34_macaque_f001_Mq179-20230428.nii.gz,5.19,outputs/json//brain_region_T34_macaque_f001_Mq179-20230428.json,False,1794,f001,L,1,synth,1794,outputs/padded//brain_region_T34_macaque_f001_Mq179-20230428.nii.gz
73,outputs/padded//brain_region_T36_macaque_f001_Mq179-20230428.nii.gz,4.73,outputs/json//brain_region_T36_macaque_f001_Mq179-20230428.json,False,1818,f001,L,1,synth,1818,outputs/padded//brain_region_T36_macaque_f001_Mq179-20230428.nii.gz
